"Andy Serkis","Armenian, English, possibly other"
"Aneurin Barnard","Welsh, English, Cornish, small amount of Scottish"
"Angel Coulby",""
"Angela Bassett","African-American"
"Angela Lansbury","English, Irish, Scottish, Welsh"
"Angelina Jolie","25% Slovak*25% German*25% French-Canadian (approximately)*12.5% Dutch*12.5% Polish*1/1024 Huron First Nations"
"Anil Kapoor","Punjabi Indian"
"Anjelica Huston","English, Scottish, Scots-Irish/Northern Irish, distant German, remote Portuguese (father)*Italian (mother)"
"Anna Anka","Polish"
"Anna Camp","English, Scottish, smaller amounts of German, Dutch, French, Swedish, and Welsh"
"Anna Chlumsky","87.5% Czech (Bohemian)*12.5% Croatian"
"Anna Deavere Smith","African-American (including Igbo Nigerian, Ivory Coast, Ghana, Angola, Cameroon, Congo, and Senegal), English"
"Anna Faris","German, English, Scottish, French, Dutch, Welsh"
"Anna Friel","Irish (father)*English (mother)"
"Anna Gunn","English, German, Polish, Slovak, distant Irish"
"Anna Kendrick","English, Scottish, Irish, more distant German, about 1/64th Swiss-French"
"Anna Nicole Smith","English, some Scottish and French"
"Anna Paquin","French-Canadian, Irish, Dutch, English"
"Anna Silk","English, Turkish, Cypriot"
"Anna Wood","English, Irish, German, Austrian, some Scottish and French"
"AnnaLynne McCord","Scottish, English, possibly other"
"Anne Bancroft","Italian"
"Anne Hathaway","Irish, French, English, German (father)*Irish (mother)"
"Anne Heche","Swiss-German, German, Norwegian, English, Scottish, some Scots-Irish (Northern Irish) and Welsh"
"Annette Bening","German, English, Irish, distant Welsh"
"","English, Irish, Scottish, Bohemian (Czech)"
"Annie Ilonzeh","Igbo Nigerian (father)*Polish, English (mother)"
"Annie Mumolo","Italian"
"Ansel Elgort","Eastern European Ashkenazi Jewish (father)*Norwegian, as well as English, Scots-Irish/Northern Irish, and German (mother)"
"Anthony Anderson","African-American"
"Anthony Edwards","English, Irish, Scottish, Spanish-Mexican (father)*German (mother)"
"Anthony Hopkins","Welsh, English"
"Anthony LaPaglia","Italian (father)*Dutch (mother)"
"Anthony Mackie","African-American"
"Anthony Michael Hall","Irish, Italian"
"Anthony Perkins","English, with smaller amounts of Irish, Dutch, and German"
"Anthony Ruivivar","Filipino, Chinese, Spanish (father)*German, Scottish (mother)"
"Antje Traue","German"
"Anton Yelchin","Ashkenazi Jewish"
"Antonio Banderas","Spanish [including Andalusian]"
"Aramis Knight","Pakistani, Indian (father)*English, Irish, German (mother)"
"Arden Myrin","Swedish, Norwegian, English, Scottish, Irish, some Dutch"
"Ari Graynor","Polish (father, who converted to Judaism)*Ashkenazi Jewish (mother)"
"Ariana Richards","Irish, Italian, English, German or Scandinavian"
"Arianna Huffington","Greek"
"Ariel Winter","English, German (father)*Greek (mother)"
"Arielle Kebbel","87.5% German*6.25% Austrian/Czech*6.25% English"
"Arielle Vandenberg","Dutch, 1/8th Italian, English, Irish, German, Welsh, French"
"Arija Bareikis","Lithuanian (father)"
"Armand Assante","50% Italian*50% Irish"
"Armie Hammer","Ashkenazi Jewish [one eighth], German, English, Scots-Irish/Northern Irish, Scottish, 1/16th or 1/32 Russian [approximately], 1/32 Polish, 1/32 Danish, Swiss-German, 1/128th Greek, 1/512th Cherokee Native American"
"Armin Mueller-Stahl","German"
"Arnold Schwarzenegger","Austrian"
"Arnold Vosloo","Afrikaner (Dutch, some German and Swiss-German, distant Danish, remote French, Norwegian, Indonesian, Indian, Malagasy, and Angolan)"
"Artie Lange","German, Native American (father)*Italian (mother)"
"Aryana Engineer","Parsi Indian (father)*Scottish (mother)"
"Ashanti","African-American"
"Ashley Benson","English, German, more distant Danish (father)*Irish (mother)"
"Ashley Greene","English, with some Scottish and German"
"Ashley Jensen","Scottish, likely some Danish"
"Ashley Johnson","Swedish (paternal grandfather), English"
"Ashley Olsen","Norwegian, English, German, 1/8th Italian, distant French"
"Ashley Tisdale","English, Irish, Scottish, German (father)*Ashkenazi Jewish (mother)"
"Ashton Kutcher","62.5% Bohemian (Czech)*25% Irish*12.5% German (including Swiss-German)"
"Ashton Moio","Italian (father)*Mexican (mother)"
"Asia Argento","87.5% Italian (including Sicilian)*12.5% Ashkenazi Jewish (matrilineal)"
"Athena Karkanis","Greek, Egyptian"
"Atticus Shaffer","Italian (paternal grandmother), Polish (maternal grandmother), German, Swiss-French, French (including French-Canadian), English"
"Aubrey Plaza","Puerto Rican (father)*German, English, Irish, Swiss-German (mother)"
"August Schellenberg","Swiss-German (father)*Mohawk First Nations (mother)"
"Austin Butler","English, 1/8th Finnish, Scots-Irish/Northern Irish, Scottish, and Welsh, distant Swiss-German"
"Ava Sambora","Polish (father)*English, Scottish, German (mother)"
"Avery Brooks","African-American"
"Aya Cash","Ashkenazi Jewish (father)*Italian, German, Irish (mother)"
"Ayelet Zurer","Ashkenazi Jewish"
"Aziz Ansari","Indian (Tamil)"
"B. J. Novak","Ashkenazi Jewish"
"Beatrice Rosen","French, Hungarian Jewish"
"Beau Bridges","English, smaller amounts of Scots-Irish/Northern Irish, Irish, Swiss-German, and German"
"Beau Garrett","Belgian Flemish (paternal grandmother), Ashkenazi Jewish (maternal grandfather), German, English, Irish"
"Beau Knapp","English, German, Irish"
"Beau Mirchoff","English, Scottish, Irish"
"Bella Heathcote","English, possibly other"
"Ben Affleck","English, Irish, German, Scottish, Scots-Irish (Northern Irish), distant Swiss-German, 1/256 French, remote Swedish and Welsh"
"Ben Chaplin","English"
"Ben Falcone","56.25% German*25% Italian*18.75% mix of Irish and English"
"Ben Foster","Ashkenazi Jewish (father)*English, French, Irish, distant Welsh and Scottish (mother; who may have converted to Judaism)"
"Ben Hardy","English"
"Ben Johnson","English, Scots-Irish/Northern Irish, Scottish, Irish"
"Ben Kingsley","Gujarati Indian (father)*English (maternal grandmother)*uncertain, possibly Ashkenazi Jewish (maternal grandfather)"
"Ben Mendelsohn","Ashkenazi Jewish (paternal grandfather), 1/8th Greek, as well as Scottish, English, Irish, Northern Irish, and 1/32 German"
"Ben Miller","Ashkenazi Jewish, Welsh, likely English"
"Ben Platt","Ashkenazi Jewish"
"Ben Rosenfield","Ashkenazi Jewish (father)*English, Scottish, German, Danish, Irish (mother)"
"Ben Shenkman","Ashkenazi Jewish"
"Ben Stiller","Ashkenazi Jewish (father)*Irish (mother; who converted to Judaism)"
"Benedict Cumberbatch","English (mostly), as well as 1/16th Welsh, some Scottish and Cornish, distant French, Swiss-French, Swedish or German, and Dutch"
"Benedict Wong","Chinese"
"Benicio del Toro",""
"Benjamin Bratt","German, English, Sudeten German (father)*Indigenous Peruvian Quechua (mother)"
"Benjamin Millepied","French"
"Bernadette Peters","Italian/Sicilian"
"Bernie Mac","African-American"
"Betsy Palmer","Czech (Bohemian) (father)*possibly English (mother)"
"Betty Gilpin","Irish, English, Scottish, German, distant Dutch"
"Betty White","50% English, and some Welsh*25% Danish*25% Greek"
"Beverley Mitchell","English, German, possibly other"
"","Italian (father)*English, Irish, Scottish, German (mother)"
"Bianca Kajlich","50% Slovak*25% Italian*25% mix of English and German"
"Bianca Lawson","African-American, Creole [French, African], smaller amounts of English, possibly Italian, Blackfoot Native American, and Portuguese"
"Bijou Phillips","Irish, English"
"Bill Brochtrup","German, English"
"Bill Burr","Irish, German"
"Bill Duke","African-American"
"Bill Hader","Irish, German, Danish, English, remote French Huguenot"
"Bill Irwin","English (father)*Irish, German (mother)"
"Bill Maher","Irish (father)*Ashkenazi Jewish (mother)"
"Bill Moseley","English, possibly other"
"Bill Murray","Irish"
"Bill Nighy","English, Scottish, Irish"
"Bill Paxton","English, Scots-Irish/Northern Irish, Scottish, Austrian, German, French, Swiss, Dutch, distant Welsh, remote Norwegian"
"Bill Pullman","English, Scottish, Northern Irish (father)*Dutch (mother)"
"Billie Joe Armstrong","Scots-Irish/Northern Irish, English, Scottish, Irish, 1/8th Italian [including Sicilian], 1/16th German, 1/16th Spanish, distant Welsh"
"Billy Bob Thornton","English, as well as some Scottish and Irish"
"Billy Boyd","Scottish"
"Billy Burke","Irish, possibly other"
"Billy Connolly","Irish, 1/4 Scottish, 1/32 Indian"
"Billy Crudup","English, some German and Scottish"
"Billy Crystal","Ashkenazi Jewish"
"Billy Dee Williams","African-American (father)*Afro-Montserratian (mother)"
"Billy Drago","English, 1/4 Bohemian (Czech), some Irish"
"Billy Idol","English, Irish"
"Billy Magnussen","Lithuanian (mother)"
"Billy Ray Cyrus","English, Scottish, Irish, Welsh"
"Billy Zane","Greek"
"Bitsie Tulloch","English, Scottish, Spanish, Mexican"
"Blair Redford","English, Scottish, Irish, German, distant Welsh and Dutch, remote Danish"
"Blair Underwood","African-American (including Babungo, Bamum, Brong, Igbo)"
"Blake Shelton","English, small or distant amounts (to varying degrees) of Scottish, Welsh, German, Dutch, Irish, and French"
"Bo Derek","Irish, German, Dutch, Welsh"
"Bonnie Hunt","25% Irish*25% Belgian/Luxembourgian*50% Polish"
"Booboo Stewart","Scottish, Russian (father)*Japanese, Chinese, Korean (mother)"
"Boris Kodjoe","Ghanaian (father)*German, Ashkenazi Jewish (mother)"
"Boyd Holbrook","English, Scottish, Irish, distant German, French, and Welsh"
"Brad Dourif","French, English"
"Brad Pitt","English, some Scots-Irish/Northern Irish, along with small amounts (to varying degrees) of German, Scottish, Welsh, Irish, Swedish, Dutch, and French"
"Brad Renfro","English, Scottish"
"Brad William Henke","Swiss-German, German, English"
"Bradley Cooper","Irish (father)*Italian (mother)"
"Bradley Whitford","English, German, Scottish, Irish, Dutch"
"Brandon Jay McLaren","Afro-Grenadian (father)*Afro-Trinidadian (mother)"
"Brandon Lee","Chinese, small amount of German (father)*English, Irish, Norwegian, Swedish, Dutch (mother)"
"Brandon Routh","English, Scottish, German, distant Dutch"
"Brandon T. Jackson","African-American"
"Brandy Norwood","African-American"
"Breckin Meyer","German, English, French, Irish"
"Bree Turner","English, other"
"Brenda Song","Hmong, Thai"
"Brendan Fehr","German, possibly other"
"Brendan Fraser","Irish, Scottish, German, Czech, French-Canadian, English"
"Brendan Gleeson","Irish"
"Brent Spiner","Ashkenazi Jewish"
"Brenton Thwaites","English, possibly other"
"Brett Gelman","Ashkenazi Jewish"
"Brian Austin Green","Italian (paternal grandmother), English, Scottish, other"
"Brian Cox","75% Irish*25% Scottish"
"Brian Doyle-Murray","Irish"
"Brian Gleeson","Irish"
"Brian J. White","African-American"
"Brian Posehn","German, Swedish, Norwegian, English, Irish, 1/16th Italian"
"Brian Stepanek","Czech, German, possibly other"
"Brian Van Holt","Norwegian (paternal grandmother), German, Irish, Scots-Irish/Northern Irish, English, possibly Dutch"
"Brianna Hildebrand","German, English, Irish (father)*Mexican (mother)"
"Bridget Fonda","Dutch, English, Scottish, French, Irish, German, around 1/128 Italian, remote Norwegian"
"Bridget Marquardt","German, Irish, English"
"Bridget Moynahan","Irish"
"Brie Larson","French-Canadian (father)*English, Swedish, German, Welsh, Scottish (mother)"
"Brion James","English"
"Brit Marling","Norwegian, German, English"
"Britt Robertson","English, along with German, Swiss-German, Scots-Irish (Northern Irish), Scottish, and Welsh"
"Brittany Murphy","50% Italian*25% Irish*25% Slovak"
"Brittany Snow","English, 1/8th Italian, distant Scottish and Swiss-German"
"Brittany Underwood","English, possibly other (father)*Colombian (mother)"
"Brock Peters","African-American"
"Bronson Pinchot","Russian, possibly Russian Jewish (father)*Italian (mother)"
"Brooke Adams","English, German"
"Brooke Shields","Irish, German, 1/8th Italian, English, Scottish, with distant Scots-Irish, Welsh, Spanish, French, and Dutch"
"Bruce Altman","Ashkenazi Jewish"
"Bruce Boxleitner","Irish (maternal grandfather), 3/8 German, 1/8 Welsh, English, possibly Scottish"
"Bruce Campbell","Scottish, English"
"Bruce Dern","German, English, Scottish, Scots-Irish/Northern Irish, distant Dutch"
"Bruce Greenwood","Scottish, English, some Cornish and Irish"
"Bruce McGill",""
"Bruce Willis","English, as well as Dutch, French, Welsh, and Irish (father)*German (mother)"
"Bruno Ganz","Swiss-German (father)*Italian (mother)"
"Bruno Gunn","Italian"
"Bruno Kirby","Italian"
"Bryan Batt","German, some English"
"Bryan Cranston","62.5% German (with more distant Swiss-German)*25% Irish*12.5% Ashkenazi Jewish"
"Bryce Dallas Howard","German, English, Scottish, Irish, remote French and Dutch"
"Bryce Robinson","English, Irish, German, Scottish"
"Burgess Meredith","English, some Welsh, distant German"
"Burr Steers","Scottish, English, Irish, Welsh, German"
"Burt Lancaster","Northern Irish (Scots-Irish)"
"Burt Reynolds","English, with some German, Scots-Irish/Northern Irish, Scottish, and Dutch"
"Burt Young","Italian"
"C. Thomas Howell","English, possibly Welsh"
"Cecily Strong","English, some German and Scottish, 1/32 Swiss-German, 1/32 Italian/Sicilian"
"Celia Imrie","Scottish, English, small amount of Northern Irish"
"Cesar Romero","Cuban, Venezuelan"
"Chace Crawford","English (mainly), along with Scottish, Scots-Irish/Northern Irish, and German"
"Chad Michael Murray","English, Irish, Polish, German, Swiss-German"
"Chad Stahelski","Czech (9/32s), Polish (one quarter), French-Canadian, Scottish, Irish, 1/32 Italian"
"Chadwick Boseman","African-American"
"Chandler Canterbury","English, German, Irish or Scottish, 1/16th Ashkenazi Jewish"
"Chandler Riggs","English, German, some Scottish, distant Welsh"
"Channing Tatum","English, some Scots-Irish/Northern Irish and Irish, distant Scottish, German, and Welsh, remote French"
"Charles Dance","English, Irish (father)*English (mother)"
"Charles Durning","Irish"
"Charles Esten",""
"Charles S. Dutton","African-American"
"Charlie Day","Italian (paternal grandfather), Irish, English, along with remote Welsh, French, and Scottish"
"Charlie Hunnam","English, as well as 1/8th Irish, small amount of Scottish"
"Charlie McDermott","Irish"
"Charlie Sheen","Galician Spanish (paternal grandfather), Irish, English, Scottish, possibly other"
"Charlie Tahan","Syrian (great-grandfather), Italian, Irish, possibly other"
"Charlize Theron","Afrikaner (Dutch, with some German and French Huguenot)"
"Charlotte Gainsbourg","Ashkenazi Jewish (father)*English (mother)"
"Charlotte Rampling","English"
"Charlton Heston","English, Scottish, distant German"
"Charlyne Yi","Korean, Mexican, Irish, German, French, possibly Yuki Native American (father)*Filipino, possibly some Spanish (mother)"
"Chazz Palminteri","Italian/Sicilian"
"Cheech Marin","Mexican"
"Chelah Horsdal","Danish (paternal grandfather), English, Irish"
"Cher","Armenian (father)*English, German, more distant Irish, Dutch, and French (mother)"
"Cheri Oteri","Italian (father)*publicly unknown (mother)"
"Cherie Currie","English, German, Scottish, Welsh"
"Cheryl Hines","Irish, English"
"Chester Bennington","English, smaller amounts of German, Welsh, and Scottish, distant Dutch"
"Chevy Chase","English, as well as Scottish, Irish, Danish, small amount of Dutch and German"
"Chi McBride","African-American"
"China Chow","50% Chinese*25% German*25% Japanese"
"Chiwetel Ejiofor","Igbo Nigerian"
"Chloe Dykstra","Dutch, Frisian, Irish, German, English, Welsh"
"Chris Cooper","English, some German and Scottish, remote French"
"","Italian (father)*Polish (mother)"
"Chris Elliott","English, German, Scottish"
"Chris Evans","25% German*25% Irish*25% Italian*25% mix of Welsh, English, and Scottish"
"Chris Hardwick","Italian (maternal grandfather), English, small amounts of Scots-Irish/Northern Irish and German, distant Irish and French Huguenot, 3/256ths Cherokee Native American"
"Chris Hemsworth","Dutch (maternal grandfather), English, Irish, 1/16th German, 1/16th Scottish"
"Chris Kattan","Iraqi Jewish, Polish Jewish (father)*Hungarian (mother)"
"Chris Klein","50% German*43.75% Irish*6.25% English (approximately)"
"Chris Marquette",""
"Chris Massoglia","Italian (great-grandfather), Irish, German, English, French, Swiss-German"
"Chris Messina","Italian"
"Chris Noth","50% Irish*37.5% German*12.5% English"
"","Irish, as well as distant Scottish and English (father)*German, Swiss-German, English, Swiss-French, distant Welsh and Scottish (mother)"
"","Irish"
"Chris Penn","Ashkenazi Jewish (father)*Italian, Irish (mother)"
"Chris Pine","Ashkenazi Jewish (maternal grandfather), German, English, Welsh, French"
"Chris Potter","English, possibly other"
"Chris Pratt","English, German, Swiss-German, French-Canadian (father)*Norwegian (mother)"
"Chris Rock","African-American (45% from Upper Guinea, 30% from Benin and western Nigeria, and 25% from the Congo-Angola region), some English"
"Chris Sarandon","Greek"
"Chris Tucker","African-American"
"Chris Williams","African-American, along with some English and Welsh, possibly Native American"
"Chrissie Fit","Cuban"
"Christian Bale","English, distant Channel Islander (Guernsey) and German"
"Christian De Sica","Italian (father)*Spanish (mother)"
"Christian Serratos","Italian (father)*Mexican (mother)"
"Christian Slater","German, Irish, English, Welsh, small amount of Dutch and Scottish"
"Christina Aguilera",""
"Christina Applegate","English, Scottish, German, Irish, Scots-Irish/Northern Irish, Welsh, more distant Dutch, French, Danish, Swedish, 1/512 Portuguese, remote Norwegian"
"Christina Hendricks","English, as well as 1/32 Norwegian, some German"
"Christina Milian","Cuban (including African, likely some Spanish)"
"Christina Ricci","Italian (paternal grandfather), Irish, Scots-Irish"
"Christine Baranski","Polish"
"Christine Ebersole","Swiss-German, German, English, Irish, distant Dutch"
"Christine Taylor","English, Polish, Swedish, German, Irish, Scottish"
"Christoph Waltz","German, Austrian"
"Christopher Abbott","Italian (mother)*Portuguese, Eastern European (father)"
"Christopher Guest","English, Ashkenazi Jewish, more distant Scottish and Sephardi Jewish (father)*Ashkenazi Jewish (mother)"
"Christopher Heyerdahl","Norwegian (father)*Scottish (mother)"
"Christopher Lambert","French"
"Christopher Lee","English, 1/8th Italian"
"Christopher Lloyd","English, as well as 1/16th French"
"Christopher Meloni","Italian (father)*French-Canadian (mother)"
"Christopher Mintz-Plasse","18.75% French-Canadian*6.25% Irish*25% Polish*50% Ashkenazi Jewish"
"Christopher Plummer","Scottish, English, Northern Irish, 1/64th Swiss-French, 1/64th French-Canadian"
"Christopher Walken","German (father)*Scottish, small amount of Irish (mother)"
"Chulpan Khamatova","Volga Tatar"
"Cicely Tyson","Afro-Caribbean"
"Cillian Murphy","Irish"
"Cindy Williams","English (father)*Italian (mother)"
"Claire Bloom","Ashkenazi Jewish"
"Claire Danes","German, English, Northern Irish, Scottish, Irish, 1/32 Austrian/Croatian"
"Claire Forlani","Italian (father)*English, possibly Scottish (mother)"
"Clarence Williams III","African-American"
"Clark Duke","English, Northern Irish (Scots-Irish), German, Swiss-German, Irish, Scottish, Welsh"
"Clark Gable","German, Irish, some Swiss-German, remote Belgian"
"Clark Gregg","Irish, English, German, Swiss-German"
"Claudette Colbert","French (father)*Alsatian German, French, Guernsey Channel Islander (mother)"
"Cliff Curtis","Maori"
"Cliff Robertson",""
"Clint Eastwood","English, Scottish, Irish, smaller amounts of German and Dutch, remote Welsh"
"Clive Owen","English, possibly Welsh"
"Cloris Leachman","75% English*25% Bohemian/Czech"
"Cobie Smulders","Dutch (father)*English (mother)"
"Cody Christian","English, Penobscot Native American"
"Cody Longo","Italian, possibly other"
"Cole Hauser","German, Irish, Walloon Belgian, French (father)*Ashkenazi Jewish (mother)"
"Cole Sprouse","English, Scottish, Danish, German"
"Colin Farrell","Irish"
"Colin Firth","English, some Scottish and Ulster-Scots (Northern Irish)"
"Colin Hanks","Portuguese (paternal grandmother), Ashkenazi Jewish (maternal great-grandmother), English, Cornish, Scottish, Irish, German"
"Colin Morgan","Irish, possibly Welsh"
"Colin Quinn","Irish"
"Colm Feore","Irish"
"Colm Meaney","Irish"
"Common","African-American"
"","Irish"
"Conchata Ferrell","English, smaller amounts of Scottish, German, and Irish"
"Connie Nielsen","Danish"
"Coolio","African-American"
"Corbin Bernsen","Ashkenazi Jewish (father)*English, Irish, Northern Irish/Scots-Irish, Scottish, distant Welsh (mother)"
"Corbin Bleu","Afro-Jamaican (father)*Italian (mother)"
"Corey Feldman","Ashkenazi Jewish"
"Corey Haim","Ashkenazi Jewish"
"Corey Stoll","Ashkenazi Jewish"
"Cory Monteith","Scottish, Irish, English, distant Dutch"
"Costas Mandylor","Greek"
"Courteney Cox","English, Irish, Welsh, Scottish, German, distant Swedish and French"
"Courtney B. Vance","African-American (including ancestry from Nigeria, Ivory Coast/Ghana, Cameroon/Congo, and Senegal)"
"Courtney Eaton","English (father)*Chinese, Maori Cook Islander (mother)"
"Courtney Love","Spanish-Cuban (great-grandmother), Welsh, Irish, German, English, possibly other"
"Craig Bierko","Polish (father)*Jewish (mother; who converted to Christianity)"
"Craig Ferguson","Scottish, Irish"
"Craig Robinson","African-American"
"Craig T. Nelson","Norwegian (paternal grandfather), German (maternal grandfather), English, Scots-Irish (Northern Irish), distant Dutch"
"Crispin Glover","English, Bohemian (Czech), Swedish (father)*German, Czech (mother)"
"Cristin Milioti","Italian (father)*Czech, Irish (mother)"
"Crystal Reed","English, possibly other"
"Crystal the Monkey","Capuchin"
"Cybill Shepherd","English, some Scottish"
"Cynthia Addai-Robinson","English (father)*Ghanaian (mother)"
"Cynthia Nixon","German (maternal grandfather), English, some Scottish, Irish, Scots-Irish/Northern Irish, and Welsh, remote Dutch and French Huguenot"
"Cynthia Stevenson","English, Scottish, German"
"DMX","African-American"
"Domenick Lombardozzi","Italian"
"Domhnall Gleeson","Irish"
"Dominic Cooper","English, small amount of Scottish"
"Dominic Monaghan","Irish, possibly other"
"Dominic Purcell","Norwegian (father)*Irish (mother)"
"Dominic West","68.75% Irish*31.25% English"
