title,review_score,poster,imdbID,reviews
50/50,7.7,https://ia.media-imdb.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_SX300.jpg,tt1306980,[]
(500) Days of Summer,N/A,N/A,,[]
8MM,6.5,https://images-na.ssl-images-amazon.com/images/M/MV5BYjQwMmZmNWUtNGE0MS00ZjQ5LTkwNGItYWY3M2FhZDU5ZjBhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,tt0134273,[]
9,7.1,https://ia.media-imdb.com/images/M/MV5BMTY2ODE1MTgxMV5BMl5BanBnXkFtZTcwNTM1NTM2Mg@@._V1_SX300.jpg,tt0472033,[]
A Few Good Men,7.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,tt0104257,[]
A Most Violent Year,7.0,https://ia.media-imdb.com/images/M/MV5BMjE4OTY4ODg3Ml5BMl5BanBnXkFtZTgwMTI1MTg1MzE@._V1_SX300.jpg,tt2937898,[]
A Serious Man,7.0,https://ia.media-imdb.com/images/M/MV5BNGZkODlhMjktNzhhMC00YjFiLWJmODMtNjQwOGMzZjMxNTZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,tt1019452,[]
Absolute Power,6.7,https://ia.media-imdb.com/images/M/MV5BNDFlNTZmOGYtYmE0ZC00OTE4LWI5YzctNmZmZDU3M2ZiMmI4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,tt0118548,[]
The Abyss,7.6,https://images-na.ssl-images-amazon.com/images/M/MV5BYWMzMDNlMDQtMTYyYi00OTM3LTllZDYtYThhMTk5MzNhZTRhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,tt0096754,[]
Ace Ventura: Pet Detective,6.9,https://ia.media-imdb.com/images/M/MV5BMjAzNTI0ODUxOF5BMl5BanBnXkFtZTgwNTQxNzQxMTE@._V1_SX300.jpg,tt0109040,[]
Adaptation.,7.7,https://ia.media-imdb.com/images/M/MV5BZjIwZWU0ZDItNzBlNS00MDIwLWFlZjctZTJjODdjZWYxNzczL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,tt0268126,[]
The Addams Family,6.9,https://ia.media-imdb.com/images/M/MV5BODc1NmY0MDUtNjUzNS00ODdhLWJlN2ItMTgwZjczZjI0MDkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,tt0101272,"[""A tonally loyal adaptation of the 60's TV show. Some nonsensical moments and lacklustre scenes but Huston and Julia steal the thing with such fervour you can't help but enjoy yourself at least a little.\r\n\r\n_Final rating:★★★ - I personally recommend you give it a go._""]"
The Adjustment Bureau,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMzc0ZDcwZTYtOWUzZi00NDE4LWI4NjgtMWVjZTUyYTA2ZTNhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,tt1385826,[]
After.Life,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NTY1MzM3M15BMl5BanBnXkFtZTcwMTQ4MTkxNA@@._V1_SX300.jpg,tt1785279,[]
Air Force One,6.5,https://ia.media-imdb.com/images/M/MV5BYTk5NWE2ZjAtZmRmOS00ZGYzLWI5ZmUtMDcwODI0YWY0MTRlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,tt0118571,"[""It’s a quite nice action flick. Some people on Rotten Tomatoes and other sites have been moaning that it was too much American patriotism. Well, that’s a load of bullshit! Sure it was very American but given the name and the cast, what the hell did these morons expect? If one cannot enjoy a good American action movie because of some patriotism in it, well then do not watch them! Incidentally there are some countries in Europe, no names mentioned cough cough, that could do with some more patriotism in the first place. Anyway, for us it was two enjoyable hours and hey, it's Harrison Ford after all! It is a decent enough transfer to Blu-ray although the choice of sound codecs is a bit unusual in that it has a Linear PCM 5.1 English track on it.""]"
Airplane!,7.8,https://ia.media-imdb.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt0080339,"[""An American Comedy _**Classic**_ - Everything about this film screams 'American Cinema Comedy'. A lot of the humor is a precursor to modern american humor, including the terribly cheesy pulp humor. This film is an homage to the comedies that came before it, but is innovative in its combination of wordplay and referential humor. I see vestiges of this film in everything from 'The Hangover' to 'The Office'. \r\n\r\nIf at any point you are watching this and find yourself saying 'This is really stupid', just remember: Relax. It's supposed to be stupid.""]"
Aladdin,8.0,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,tt0103639,[]
Ali,6.8,https://ia.media-imdb.com/images/M/MV5BZjA3OTUxNTktN2FlNC00NGUyLWI1NDktY2FlZTc5MDlmOGFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,tt0248667,[]
Alien: Resurrection,6.2,https://ia.media-imdb.com/images/M/MV5BM2YxYmFjYWMtMzBmMC00MTVmLThhMjUtYWU5Yzg2OGQwZjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,tt0118583,"[""Let sleeping dogs lie?\r\n\r\nDirected by Jean-Pierre Jeunet, the makers here basically stick safe to the formula of the series. This time it's a space station with space pirates and a cloned Ripley (Siggy Weaver of course) - yes! A cloned Ripley, only this time she's devoid of human compassion - kind of... The gore quota is significantly upped, which makes for some serious sci-fi terror, and some of the imagery crafted is outstanding (a clone lab sequence is shatteringly unforgettable). A tip top cast featuring Ron Perlman, Michael Wincott, Brad Dourif, Dan Hedaya and Winona Ryder, all give good shows, whilst the photography (Darius Khondji/Se7en) and art design (Steve Cooper, Andrew Neskoromny and John M. Dwyer) takes the breath away. Yet come the final straight it loses its way, sinking into a mire of over confidence, topped by a crown of thorns involving an albino baby alien hybrid. Shame that. 6.5/10""]"
Alien,8.5,https://ia.media-imdb.com/images/M/MV5BNDNhN2IxZWItNGEwYS00ZDNhLThiM2UtODU3NWJlZjBkYjQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,tt0078748,"['Described by Roger Ebert as a ""trapped in a haunted house"" movie, this movie set the bar for Horror in the Summer. \r\n\r\nThe ""Nostromo,"" like ""Star Wars"" spacecraft, looks worn and in use, compared to the ""just out of the box"" look of ""Star Trek"" spacecraft. (And I\'m a fan of the ""Star Trek"" universe!) The claustrophobic feel of the ""Nostromo"" is due to ""filming inside of a tube"" location shooting next seen in ""Das Boot."" \r\n\r\nA band of ""space truckers"" are awakened from hibernation, and are shocked to find that they are only half way home. The Company orders them to investigate an Alien transmission, which sets up a descent into Hell as the crew finds themselves being stalked by an opportunistic ""Exomorph."" As the crew is picked off one by one, the true nature of the beast and the odd attitude of the Science officer, Ash, raise the anxiety level over 100%.\r\n\r\nWhat sets this tale apart from other ""space monster"" films is the character of Third officer Ripley, who raises uncomfortable questions to Capt. Dallas about company policy in general and Science officer Ash in particular. After Capt. Dallas disappears, take-charge-female-Ripley discovers Ash\'s true intentions and leads her diminished crew to action.\r\n\r\n The level of violence has been described as ""near pornographic,"" which is helped along by H.R. Giger\'s ""worst nightmare"" mature Alien. This is the first of a memorable franchise, featuring a strong female leader that continues into the ""Prometheus"" prequel.(?)']"
